method;dimension;clustering;counts
PCAHC;PCA;hc;logcounts
pcaReduce;PCA;kmeans;logcounts
CIDR;PCA;hc;counts
FlowSOM;PCA;graph;logcounts
PCAKmeans;PCA;kmeans;logcounts
RtsneKmeans;tSNE;kmeans;logcounts
SC3;PCA;kmeans;logcounts
SC3svm;PCA;svm;logcounts
SIMLR;;kmeans;logcounts
TSCAN;;;logcounts
Seurat;PCA;graph;counts
RaceID;;kmeans;counts
